date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
12:39:33	9334/9334	---MCZ	200	added ('OK')	text/css	date:Fri,%2021%20Jan%202022%2010:19:46%20GMT	https://setsail.qodeinteractive.com/wp-content/themes/setsail/framework/lib/icons-pack/dripicons/dripicons.css?ver=6.2.3	D:/WEB%20CREATIVE%20SOLUTION/TEMPLATES/Travelsite/setsail.qodeinteractive.com/wp-content/themes/setsail/framework/lib/icons-pack/dripicons/dripicons18cf.css	(from https://setsail.qodeinteractive.com/)
12:39:33	21769/21769	---M-Z	200	added ('OK')	text/css	date:Fri,%2021%20Jan%202022%2010:19:46%20GMT	https://setsail.qodeinteractive.com/wp-content/themes/setsail/framework/lib/icons-pack/elegant-icons/style.min.css?ver=6.2.3	D:/WEB%20CREATIVE%20SOLUTION/TEMPLATES/Travelsite/setsail.qodeinteractive.com/wp-content/themes/setsail/framework/lib/icons-pack/elegant-icons/style.min18cf.css	(from https://setsail.qodeinteractive.com/)
12:39:33	35359/35359	---M-Z	200	added ('OK')	text/css	date:Fri,%2021%20Jan%202022%2010:19:46%20GMT	https://setsail.qodeinteractive.com/wp-content/themes/setsail/framework/lib/icons-pack/font-awesome/css/fontawesome-all.min.css?ver=6.2.3	D:/WEB%20CREATIVE%20SOLUTION/TEMPLATES/Travelsite/setsail.qodeinteractive.com/wp-content/themes/setsail/framework/lib/icons-pack/font-awesome/css/fontawesome-all.min18cf.css	(from https://setsail.qodeinteractive.com/)
12:39:34	51284/51284	---M-Z	200	added ('OK')	text/css	date:Fri,%2021%20Jan%202022%2010:19:46%20GMT	https://setsail.qodeinteractive.com/wp-content/themes/setsail/framework/lib/icons-pack/ion-icons/css/ionicons.min.css?ver=6.2.3	D:/WEB%20CREATIVE%20SOLUTION/TEMPLATES/Travelsite/setsail.qodeinteractive.com/wp-content/themes/setsail/framework/lib/icons-pack/ion-icons/css/ionicons.min18cf.css	(from https://setsail.qodeinteractive.com/)
12:39:34	42465/42465	---MCZ	200	added ('OK')	text/css	date:Fri,%2021%20Jan%202022%2010:19:46%20GMT	https://setsail.qodeinteractive.com/wp-content/themes/setsail/framework/lib/icons-pack/linea-icons/style.css?ver=6.2.3	D:/WEB%20CREATIVE%20SOLUTION/TEMPLATES/Travelsite/setsail.qodeinteractive.com/wp-content/themes/setsail/framework/lib/icons-pack/linea-icons/style18cf.css	(from https://setsail.qodeinteractive.com/)
12:39:34	7028/7028	---MCZ	200	added ('OK')	text/css	date:Fri,%2021%20Jan%202022%2010:19:46%20GMT	https://setsail.qodeinteractive.com/wp-content/themes/setsail/framework/lib/icons-pack/linear-icons/style.css?ver=6.2.3	D:/WEB%20CREATIVE%20SOLUTION/TEMPLATES/Travelsite/setsail.qodeinteractive.com/wp-content/themes/setsail/framework/lib/icons-pack/linear-icons/style18cf.css	(from https://setsail.qodeinteractive.com/)
12:39:34	10579/10579	---MCZ	200	added ('OK')	text/css	date:Fri,%2021%20Jan%202022%2010:19:46%20GMT	https://setsail.qodeinteractive.com/wp-content/themes/setsail/framework/lib/icons-pack/simple-line-icons/simple-line-icons.css?ver=6.2.3	D:/WEB%20CREATIVE%20SOLUTION/TEMPLATES/Travelsite/setsail.qodeinteractive.com/wp-content/themes/setsail/framework/lib/icons-pack/simple-line-icons/simple-line-icons18cf.css	(from https://setsail.qodeinteractive.com/)
12:39:35	11256/11256	---M-Z	200	added ('OK')	text/css	date:Tue,%2006%20Apr%202021%2014:30:23%20GMT	https://setsail.qodeinteractive.com/wp-includes/js/mediaelement/mediaelementplayer-legacy.min.css?ver=4.2.17	D:/WEB%20CREATIVE%20SOLUTION/TEMPLATES/Travelsite/setsail.qodeinteractive.com/wp-includes/js/mediaelement/mediaelementplayer-legacy.min1f61.css	(from https://setsail.qodeinteractive.com/)
12:39:35	4186/4186	---M-Z	200	added ('OK')	text/css	date:Tue,%2006%20Apr%202021%2014:30:23%20GMT	https://setsail.qodeinteractive.com/wp-includes/js/mediaelement/wp-mediaelement.min.css?ver=6.2.3	D:/WEB%20CREATIVE%20SOLUTION/TEMPLATES/Travelsite/setsail.qodeinteractive.com/wp-includes/js/mediaelement/wp-mediaelement.min18cf.css	(from https://setsail.qodeinteractive.com/)
12:39:35	104946/104946	---M-Z	200	added ('OK')	text/css	date:Thu,%2004%20May%202023%2014:01:30%20GMT	https://setsail.qodeinteractive.com/wp-content/themes/setsail/assets/css/woocommerce.min.css?ver=6.2.3	D:/WEB%20CREATIVE%20SOLUTION/TEMPLATES/Travelsite/setsail.qodeinteractive.com/wp-content/themes/setsail/assets/css/woocommerce.min18cf.css	(from https://setsail.qodeinteractive.com/)
12:39:36	12675/12675	---M-Z	200	added ('OK')	text/css	date:Fri,%2021%20Jan%202022%2010:19:46%20GMT	https://setsail.qodeinteractive.com/wp-content/themes/setsail/assets/css/woocommerce-responsive.min.css?ver=6.2.3	D:/WEB%20CREATIVE%20SOLUTION/TEMPLATES/Travelsite/setsail.qodeinteractive.com/wp-content/themes/setsail/assets/css/woocommerce-responsive.min18cf.css	(from https://setsail.qodeinteractive.com/)
